,turns,chutes_hit,ladders_hit
677,35,5,4
678,26,2,2
679,44,8,1
680,42,7,7
681,16,0,2
682,43,3,3
683,12,0,2
684,53,4,2
685,47,6,5
686,23,2,3
687,20,2,1
688,13,1,2
689,67,8,4
690,19,2,5
691,24,2,2
692,19,0,1
693,19,1,3
694,48,4,3
695,13,0,2
696,21,2,3
697,35,4,3
698,13,1,2
699,16,1,3
700,39,4,2
701,56,4,2
702,37,1,2
703,15,2,2
704,44,5,3
705,84,11,4
706,36,3,4
707,41,4,2
708,48,6,6
709,64,7,6
710,55,10,6
711,18,2,2
712,39,2,3
713,21,3,3
714,37,3,5
715,14,0,3
716,69,9,4
717,26,2,2
718,21,2,2
719,9,0,3
720,64,9,5
721,56,7,5
722,153,27,11
723,57,8,4
724,39,3,2
725,73,10,4
726,16,1,2
727,41,7,4
728,23,1,2
729,25,2,3
730,14,1,2
731,26,4,3
732,27,3,5
733,27,2,4
734,44,5,2
735,28,1,1
736,28,1,2
737,66,7,3
738,36,5,3
739,31,3,3
740,27,1,2
741,25,4,3
742,14,0,2
743,21,1,3
744,21,2,2
745,19,0,2
746,21,2,3
747,19,2,2
748,26,4,2
749,53,5,2
750,24,4,4
751,51,4,1
752,44,4,0
753,20,1,1
754,31,2,1
755,58,7,3
756,20,1,3
757,19,1,3
758,8,0,2
759,32,2,5
760,33,4,3
761,49,4,3
762,18,2,2
763,23,2,4
764,42,6,4
765,22,2,1
766,28,1,2
767,15,0,3
768,58,6,5
769,20,2,4
770,43,4,2
771,38,5,3
772,17,1,3
773,43,4,3
774,19,1,1
775,26,1,1
776,14,1,3
777,11,0,2
778,26,2,2
779,24,1,2
780,63,10,6
781,39,7,4
782,45,6,3
783,109,17,6
784,24,4,2
785,30,5,3
786,10,0,2
787,49,7,7
788,16,0,2
789,13,1,2
790,17,1,2
791,10,0,4
792,17,2,2
793,11,1,2
794,50,7,4
795,9,1,2
796,24,3,4
797,33,4,2
798,78,10,7
799,216,31,11
800,23,1,3
801,22,2,2
802,23,2,3
803,16,0,2
804,15,1,3
805,52,7,4
806,22,1,2
807,57,8,6
808,11,1,1
809,97,15,7
810,21,1,3
811,30,3,4
812,38,5,3
813,26,2,3
814,25,1,1
815,63,8,6
816,21,2,3
817,50,8,6
818,24,3,4
819,8,0,3
820,119,17,7
821,50,6,1
822,29,3,4
823,41,4,3
824,33,3,2
825,71,10,6
826,76,12,8
827,16,0,2
828,22,1,1
829,46,6,7
830,30,3,2
831,33,3,3
832,40,3,3
833,17,2,3
834,68,9,5
835,82,9,3
836,20,1,2
837,16,2,2
838,19,1,3
839,102,15,7
840,15,1,3
841,56,4,0
842,44,5,3
843,15,1,1
844,48,4,2
845,22,1,2
846,38,3,3
847,26,2,4
848,23,3,3
849,65,8,5
850,11,0,1
851,44,4,2
852,44,6,2
853,32,2,0
854,47,7,5
855,10,0,3
856,32,4,5
857,69,9,6
858,44,4,4
859,99,12,5
860,16,1,2
861,31,3,4
862,16,2,4
863,42,5,4
864,32,3,2
865,16,0,2
866,33,4,2
867,27,4,1
868,52,8,2
869,37,6,4
870,24,1,3
871,30,2,4
872,16,2,4
873,40,5,3
874,11,1,2
875,18,2,2
876,10,1,3
877,35,4,2
878,60,6,4
879,18,1,2
880,21,1,2
881,82,13,6
882,26,2,2
883,46,5,6
884,38,5,4
885,44,5,4
886,60,9,8
887,31,6,5
888,57,9,10
889,20,1,2
890,24,2,3
891,42,6,5
892,28,5,4
893,42,3,2
894,46,4,3
895,49,7,5
896,37,2,1
897,28,3,2
898,44,7,3
899,21,2,2
900,32,4,4
901,56,6,6
902,12,1,5
903,69,10,2
904,57,7,4
905,29,2,3
906,32,2,3
907,20,2,3
908,20,1,2
909,22,1,1
910,55,7,1
911,27,2,3
912,28,2,3
913,36,8,4
914,39,5,4
915,31,5,2
916,50,5,4
917,52,6,3
918,34,2,2
919,55,6,4
920,29,2,3
921,79,10,5
922,99,12,2
923,59,8,4
924,28,2,3
925,11,1,2
926,16,2,2
927,25,3,3
928,93,11,2
929,30,3,4
930,37,4,4
931,40,8,6
932,34,3,3
933,69,7,0
934,57,11,6
935,15,1,2
936,61,11,9
937,25,1,3
938,35,5,4
939,12,0,3
940,16,1,1
941,7,1,4
942,52,6,3
943,33,4,4
944,9,0,2
945,15,2,2
946,87,9,8
947,22,1,1
948,28,2,2
949,30,3,3
950,15,0,2
951,9,0,3
952,18,1,4
953,77,13,6
954,20,3,4
955,35,7,4
956,80,12,8
957,26,1,2
958,37,5,4
959,37,4,4
960,18,0,3
961,28,3,4
962,54,10,5
963,19,1,3
964,22,1,3
965,20,2,3
966,30,2,3
967,20,2,2
968,15,1,3
