,turns
1154,18
1155,21
1156,12
1157,13
1158,14
1159,24
1160,16
1161,9
1162,31
1163,17
1164,12
1165,9
1166,17
1167,9
1168,25
1169,9
1170,11
1171,14
1172,9
1173,13
1174,32
1175,14
1176,17
1177,24
1178,17
1179,12
1180,19
1181,21
1182,16
1183,8
1184,17
1185,19
1186,25
1187,20
1188,13
1189,8
1190,13
1191,8
1192,11
1193,15
1194,31
1195,34
1196,15
1197,8
1198,21
1199,21
1200,14
1201,22
1202,14
1203,28
1204,13
1205,17
1206,12
1207,19
1208,11
1209,15
1210,13
1211,13
1212,29
1213,22
1214,12
1215,16
1216,13
1217,15
1218,24
1219,11
1220,18
1221,21
1222,17
1223,11
1224,24
1225,16
1226,18
1227,13
1228,14
1229,23
1230,18
1231,17
1232,15
1233,13
1234,18
1235,19
1236,20
1237,16
1238,12
1239,12
1240,23
1241,12
1242,23
1243,22
1244,10
1245,12
1246,17
1247,10
1248,24
1249,16
1250,16
1251,16
1252,27
1253,13
1254,25
1255,11
1256,11
1257,27
1258,28
1259,18
1260,25
1261,39
1262,22
1263,8
1264,21
1265,12
1266,20
1267,19
1268,21
1269,22
1270,17
1271,17
1272,24
1273,18
1274,14
1275,25
1276,19
1277,13
1278,14
1279,13
1280,9
1281,19
1282,12
1283,12
1284,11
1285,15
1286,15
1287,12
1288,16
1289,16
1290,20
1291,14
1292,18
1293,9
1294,18
1295,17
1296,19
1297,12
1298,11
1299,19
1300,27
1301,19
1302,18
1303,10
1304,29
1305,20
1306,24
1307,21
1308,12
1309,16
1310,15
1311,13
1312,15
1313,18
1314,11
1315,8
1316,21
1317,23
1318,13
1319,16
1320,23
1321,19
1322,19
1323,17
1324,17
1325,21
1326,13
1327,36
1328,16
1329,35
1330,20
1331,22
1332,22
1333,34
1334,9
1335,10
1336,18
1337,18
1338,15
1339,7
1340,16
1341,7
1342,18
1343,15
1344,12
1345,26
1346,12
1347,11
1348,7
1349,14
1350,19
1351,12
1352,13
1353,15
1354,13
1355,13
1356,18
1357,22
1358,12
1359,18
1360,20
1361,9
1362,17
1363,13
1364,10
1365,19
1366,20
1367,12
1368,18
1369,22
1370,14
1371,15
1372,31
1373,16
1374,17
1375,11
1376,7
1377,17
1378,11
1379,18
1380,13
1381,15
1382,12
1383,15
1384,27
1385,24
1386,13
1387,10
1388,10
1389,16
1390,9
1391,11
1392,23
1393,11
1394,23
1395,21
1396,11
1397,19
1398,22
1399,15
1400,15
1401,18
1402,25
1403,18
1404,16
1405,17
1406,16
1407,12
1408,14
1409,26
1410,7
1411,27
1412,14
1413,20
1414,28
1415,17
1416,10
1417,15
1418,31
1419,18
1420,19
1421,10
1422,10
1423,19
1424,21
1425,27
1426,10
1427,24
1428,10
1429,28
1430,13
1431,20
1432,14
1433,9
1434,14
1435,21
1436,39
1437,11
1438,11
