,turns,player_position1,player_position2
785,32,99,7
786,31,99,83
787,16,93,99
788,10,34,99
789,19,23,99
790,28,74,99
791,29,99,85
792,10,25,99
793,50,56,99
794,32,95,99
795,16,36,99
796,27,90,99
797,48,99,43
798,26,31,99
799,50,93,99
800,33,99,59
801,19,39,99
802,17,99,41
803,31,64,99
804,8,51,99
805,13,65,99
806,35,33,99
807,21,99,78
808,33,10,99
809,20,99,23
810,22,93,99
811,30,99,89
812,64,49,99
813,21,99,34
814,33,99,30
815,35,99,33
816,15,58,99
817,65,47,99
818,16,59,99
819,19,10,99
820,11,99,32
821,55,99,89
822,30,99,59
823,22,99,47
824,40,99,85
825,12,99,67
826,22,99,23
827,12,16,99
828,13,39,99
829,25,99,71
830,36,99,99
831,26,80,99
832,24,99,26
833,40,90,99
834,35,99,74
835,20,99,28
836,15,42,99
837,29,99,38
838,12,29,99
839,30,99,33
840,15,60,99
841,33,25,99
842,8,99,29
843,17,74,99
844,18,99,83
845,19,99,66
846,19,99,43
847,12,52,99
848,39,99,95
849,42,90,99
850,15,74,99
851,9,99,14
852,47,54,99
853,19,40,99
854,17,99,69
855,20,87,99
856,41,99,51
857,15,99,65
858,30,99,99
859,19,99,52
860,27,99,5
861,19,69,99
862,44,99,45
863,19,99,98
864,17,93,99
865,17,99,5
866,14,38,99
867,34,99,59
868,17,47,99
869,29,77,99
870,34,33,99
871,27,91,99
872,12,11,99
873,16,42,99
874,11,65,99
875,17,90,99
876,23,99,66
877,21,99,56
878,14,58,99
879,33,59,99
880,18,99,82
881,31,95,99
882,23,13,99
883,21,99,23
884,30,80,99
885,31,99,9
886,29,87,99
887,31,52,99
888,10,36,99
889,28,44,99
890,25,99,96
891,18,99,37
892,25,99,72
893,16,99,45
894,34,99,69
895,18,25,99
896,29,23,99
897,43,99,5
898,19,99,7
899,7,72,99
900,16,18,99
901,23,95,99
902,15,72,99
903,14,99,62
904,58,99,26
905,51,80,99
906,27,49,99
907,42,99,83
908,37,10,99
909,12,21,99
910,33,23,99
911,17,44,99
912,37,99,89
913,64,99,87
914,17,99,88
915,32,99,88
916,15,24,99
917,22,99,10
918,23,99,21
919,21,99,83
920,63,31,99
921,25,99,47
922,13,83,99
923,18,78,99
924,32,28,99
925,10,83,99
926,23,91,99
927,14,47,99
928,20,36,99
929,9,37,99
930,22,99,91
931,42,21,99
932,27,49,99
933,32,95,99
934,45,99,93
935,12,24,99
936,10,75,99
937,27,99,69
938,19,90,99
939,22,25,99
940,26,99,99
941,15,99,72
942,57,99,23
943,31,99,62
944,17,99,45
945,22,99,98
946,24,99,47
947,13,99,45
948,58,56,99
949,23,99,78
950,20,99,91
951,23,18,99
952,15,99,43
953,36,81,99
954,44,23,99
955,15,99,91
956,16,99,59
957,34,99,26
958,42,99,26
959,12,99,91
960,21,22,99
961,23,99,36
962,20,87,99
963,42,99,83
964,11,99,19
965,19,40,99
966,23,99,89
967,35,99,52
968,13,53,99
969,39,85,99
970,16,99,74
971,20,99,89
972,20,30,99
973,11,71,99
974,26,99,31
975,18,99,23
976,12,77,99
977,21,82,99
978,12,99,37
979,9,99,23
980,34,99,74
981,15,99,75
982,19,66,99
983,25,43,99
984,15,99,44
985,16,99,67
986,12,82,99
987,19,99,54
988,25,99,23
989,22,99,78
990,26,99,23
991,24,99,66
992,15,42,99
993,8,12,99
994,47,99,76
995,22,99,37
996,24,99,36
997,16,64,99
998,35,77,99
999,47,99,36
1000,24,34,99
1001,10,81,99
1002,47,91,99
1003,14,99,90
1004,20,87,99
1005,39,99,60
1006,24,99,36
1007,15,99,36
1008,25,38,99
1009,31,52,99
1010,23,73,99
1011,13,99,66
1012,26,99,25
1013,19,99,83
1014,7,23,99
1015,17,52,99
1016,16,99,29
1017,15,99,49
1018,12,99,12
1019,31,99,43
1020,25,99,67
1021,19,99,40
1022,21,87,99
1023,30,99,84
1024,23,45,99
1025,20,47,99
1026,7,99,12
1027,24,77,99
1028,35,98,99
1029,21,99,43
1030,30,37,99
1031,30,83,99
1032,9,30,99
1033,44,41,99
1034,22,99,29
1035,31,99,84
1036,19,78,99
1037,14,75,99
1038,37,99,49
1039,61,38,99
1040,17,53,99
1041,21,26,99
1042,19,31,99
1043,23,99,66
1044,34,99,49
1045,12,93,99
1046,33,99,83
1047,15,39,99
1048,14,39,99
1049,9,49,99
1050,7,99,30
1051,8,84,99
1052,25,28,99
1053,11,99,85
1054,34,99,99
1055,12,41,99
1056,33,99,43
1057,12,99,83
1058,15,77,99
1059,14,99,95
1060,16,99,84
1061,34,99,75
1062,31,72,99
1063,22,71,99
1064,24,59,99
1065,15,60,99
1066,20,99,71
1067,24,37,99
1068,30,65,99
1069,17,99,26
1070,12,99,41
1071,8,39,99
1072,33,59,99
1073,30,99,25
1074,18,26,99
1075,16,99,29
1076,24,74,99
1077,11,99,95
1078,38,66,99
1079,18,98,99
1080,27,99,37
1081,13,99,10
1082,11,10,99
1083,20,51,99
1084,18,99,77
1085,21,88,99
1086,25,25,99
1087,13,99,49
1088,15,99,75
1089,36,99,16
1090,17,99,89
1091,29,99,93
1092,15,99,44
1093,30,99,18
1094,14,11,99
1095,22,99,89
1096,19,99,28
1097,14,99,90
1098,31,99,17
1099,11,99,10
1100,37,21,99
1101,31,84,99
1102,15,10,99
1103,21,99,78
1104,14,99,41
1105,13,73,99
1106,24,18,99
1107,17,99,52
1108,20,99,58
1109,22,18,99
1110,12,39,99
1111,25,99,36
1112,17,99,43
1113,21,84,99
1114,34,59,99
1115,32,98,99
1116,39,26,99
1117,13,99,45
1118,20,99,72
1119,15,22,99
1120,25,99,90
1121,38,47,99
1122,43,99,16
1123,70,84,99
1124,22,10,99
1125,13,74,99
1126,18,99,37
1127,15,34,99
1128,34,99,59
1129,26,58,99
1130,25,99,83
1131,20,99,83
1132,16,99,76
1133,10,99,81
1134,32,41,99
1135,34,99,54
1136,54,99,39
1137,29,98,99
1138,16,22,99
1139,22,99,37
1140,11,99,99
1141,15,99,33
1142,15,18,99
1143,52,88,99
1144,28,78,99
1145,25,93,99
1146,11,99,45
1147,11,43,99
1148,7,99,44
1149,16,99,54
1150,46,9,99
1151,21,99,44
1152,8,45,99
1153,42,99,68
1154,23,31,99
1155,24,33,99
1156,26,72,99
1157,13,99,25
1158,21,99,77
1159,10,77,99
1160,23,99,87
1161,51,11,99
1162,15,99,43
1163,20,65,99
1164,61,54,99
1165,28,81,99
1166,40,40,99
1167,32,99,22
1168,28,99,83
1169,23,99,44
1170,15,99,41
1171,21,71,99
1172,67,44,99
1173,46,99,74
1174,18,80,99
1175,12,58,99
1176,13,74,99
1177,18,82,99
1178,22,30,99
1179,11,34,99
1180,10,99,74
1181,53,18,99
1182,28,99,91
1183,26,38,99
1184,36,99,30
1185,72,99,19
1186,16,47,99
1187,30,99,80
1188,35,89,99
1189,36,99,51
1190,14,99,80
1191,43,99,10
1192,29,89,99
1193,12,49,99
1194,29,32,99
1195,16,99,28
1196,45,47,99
1197,16,41,99
1198,13,99,5
1199,23,31,99
1200,18,77,99
1201,10,42,99
1202,13,31,99
1203,40,99,44
1204,19,99,5
1205,26,99,23
1206,23,99,36
1207,11,99,83
1208,17,99,66
1209,35,99,66
1210,24,99,85
1211,21,7,99
1212,30,99,68
1213,11,90,99
1214,11,14,99
1215,20,89,99
1216,30,99,89
1217,46,99,85
1218,18,43,99
1219,23,80,99
1220,16,72,99
1221,12,99,83
1222,16,99,66
1223,41,99,30
1224,20,66,99
1225,30,40,99
1226,23,99,37
1227,19,23,99
1228,61,99,45
1229,20,99,23
1230,53,99,99
1231,14,69,99
1232,33,45,99
1233,44,64,99
1234,19,99,76
1235,14,19,99
1236,18,22,99
1237,43,81,99
1238,12,99,53
1239,31,99,22
1240,16,99,68
1241,35,83,99
1242,12,11,99
1243,25,99,23
1244,22,49,99
1245,30,66,99
1246,21,99,30
1247,60,22,99
1248,34,75,99
1249,16,99,25
1250,15,52,99
1251,21,88,99
1252,9,99,28
1253,9,68,99
1254,12,99,49
1255,36,31,99
1256,7,99,54
1257,52,99,17
1258,19,73,99
1259,29,31,99
1260,7,99,41
1261,44,99,25
1262,24,99,90
1263,21,30,99
1264,24,99,69
1265,31,10,99
1266,15,99,42
1267,53,99,18
1268,9,90,99
1269,18,99,75
1270,9,68,99
1271,20,24,99
1272,24,29,99
1273,22,10,99
1274,11,43,99
1275,18,99,78
1276,27,99,36
1277,25,99,41
1278,36,78,99
1279,15,68,99
1280,24,99,73
1281,10,99,42
1282,27,98,99
1283,23,99,91
1284,21,99,75
1285,34,45,99
1286,56,99,10
1287,35,36,99
1288,14,99,90
1289,10,99,76
1290,14,99,29
1291,37,99,30
1292,22,40,99
1293,39,99,87
1294,19,19,99
1295,36,10,99
1296,28,91,99
1297,18,99,33
1298,28,25,99
1299,19,36,99
1300,12,99,10
1301,31,99,53
1302,26,60,99
1303,26,99,81
1304,50,39,99
1305,12,30,99
1306,17,29,99
1307,19,78,99
1308,21,57,99
1309,16,99,42
1310,16,56,99
1311,23,99,82
1312,37,78,99
1313,23,99,59
1314,24,99,99
1315,30,88,99
1316,35,99,99
1317,25,83,99
1318,101,99,36
1319,16,41,99
1320,8,31,99
1321,23,99,25
1322,51,41,99
1323,19,44,99
1324,7,53,99
1325,21,99,24
1326,14,52,99
1327,37,99,31
1328,11,99,45
1329,22,99,99
1330,23,99,87
1331,21,99,99
1332,9,47,99
1333,20,73,99
1334,41,91,99
1335,12,69,99
1336,50,99,71
1337,11,99,33
1338,18,99,22
1339,39,99,45
1340,42,49,99
1341,39,99,80
1342,27,99,91
1343,29,99,10
1344,29,93,99
1345,15,99,52
1346,22,28,99
1347,19,72,99
1348,35,83,99
1349,22,42,99
1350,15,99,45
1351,39,43,99
1352,23,99,38
1353,23,23,99
1354,30,99,23
1355,29,99,41
1356,13,68,99
1357,12,32,99
1358,65,99,96
1359,23,99,19
1360,9,10,99
1361,21,45,99
1362,46,90,99
1363,18,99,90
1364,30,99,25
1365,25,67,99
1366,18,71,99
1367,27,84,99
1368,21,40,99
1369,17,99,71
1370,11,40,99
1371,21,23,99
1372,21,78,99
1373,28,28,99
1374,26,22,99
1375,15,99,58
1376,29,10,99
1377,20,99,93
1378,11,71,99
1379,12,99,14
1380,14,44,99
1381,11,99,22
1382,41,29,99
1383,28,99,38
1384,24,87,99
1385,18,99,76
1386,28,13,99
1387,13,99,53
1388,14,99,84
1389,14,99,33
1390,13,54,99
1391,43,99,80
1392,16,14,99
1393,17,18,99
1394,24,99,26
1395,31,82,99
1396,20,25,99
1397,12,99,25
1398,9,99,34
1399,46,99,85
1400,8,99,83
1401,29,99,83
1402,17,95,99
1403,28,44,99
1404,33,36,99
1405,10,99,43
1406,26,99,95
1407,12,25,99
1408,15,28,99
1409,35,99,28
1410,16,99,83
1411,9,99,17
1412,33,22,99
1413,28,99,78
1414,35,84,99
1415,15,99,26
1416,29,99,96
1417,17,71,99
1418,54,23,99
1419,14,99,23
1420,12,73,99
1421,35,77,99
1422,18,99,14
1423,12,30,99
1424,33,29,99
1425,17,23,99
1426,19,99,41
1427,20,29,99
1428,20,34,99
1429,19,74,99
1430,20,81,99
1431,23,99,24
1432,57,99,39
1433,35,99,83
1434,24,99,40
1435,27,99,40
1436,14,99,91
1437,17,83,99
1438,35,65,99
1439,34,99,81
1440,20,18,99
1441,30,89,99
1442,15,99,30
1443,12,72,99
1444,28,99,32
1445,11,78,99
1446,29,74,99
1447,21,90,99
1448,30,81,99
1449,17,43,99
1450,24,99,29
1451,32,99,54
1452,94,99,72
1453,44,99,32
1454,38,23,99
1455,60,67,99
1456,16,78,99
1457,38,99,32
1458,35,42,99
1459,19,90,99
1460,24,99,89
1461,14,99,25
1462,12,59,99
1463,21,43,99
1464,14,99,32
1465,19,99,74
1466,15,99,83
1467,10,99,59
1468,42,99,41
1469,46,99,7
1470,21,99,34
1471,13,43,99
1472,22,89,99
1473,29,99,80
1474,19,99,45
1475,25,99,75
1476,33,99,83
1477,23,99,74
1478,29,5,99
1479,9,99,53
1480,21,99,23
1481,27,39,99
1482,20,49,99
1483,24,83,99
1484,47,99,93
1485,16,99,71
1486,16,99,89
1487,20,77,99
1488,14,99,78
1489,18,82,99
1490,26,99,23
